# ========
# captured on: Sun Aug  9 12:03:32 2015
# hostname : dev-1
# os release : 3.13.0-61-generic
# perf version : 3.13.11-ckt22
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 2043140 kB
# cmdline : /usr/lib/linux-tools-3.13.0-61/perf record ./play_icfp2015 -f problems/problem_0.json 
# event : name = cpu-clock, type = 1, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9K of event 'cpu-clock'
# Event count (approx.): 2393250000
#
# Overhead        Command        Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Symbol
# ........  .............  ...................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.78%  play_icfp2015  libc-2.19.so         [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     1.73%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     1.70%  play_icfp2015  play_icfp2015        [.] State::Command(Game const&, char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     1.62%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::DivFloor(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     1.62%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator::operator++()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     1.55%  play_icfp2015  play_icfp2015        [.] std::_Bit_const_iterator::operator++()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     1.49%  play_icfp2015  libc-2.19.so         [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     1.37%  play_icfp2015  play_icfp2015        [.] Cell::Rotate(Cell const&, int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     1.34%  play_icfp2015  libstdc++.so.6.0.19  [.] 0x000000000005b6b1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     1.32%  play_icfp2015  play_icfp2015        [.] State::LineDelete(Game const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.98%  play_icfp2015  play_icfp2015        [.] void std::swap<std::_Bit_iterator>(std::_Bit_iterator&, std::_Bit_iterator&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.95%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.93%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::~_Vector_base()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.91%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >::operator+(long const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.91%  play_icfp2015  libstdc++.so.6.0.19  [.] char* std::string::_S_construct<char const*>(char const*, char const*, std::allocator<char> const&, std::forward_iterator_tag)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.88%  play_icfp2015  libstdc++.so.6.0.19  [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.84%  play_icfp2015  play_icfp2015        [.] Cell::Cell(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.84%  play_icfp2015  play_icfp2015        [.] State::operator=(State&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.79%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::~vector()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.78%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::_M_move_assign(std::vector<char, std::allocator<char> >&&, std::integral_constant<bool, true>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.76%  play_icfp2015  play_icfp2015        [.] std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::_Bvector_base<std::allocator<bool> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.71%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_M_swap_data(std::_Vector_base<char, std::allocator<char> >::_Vector_impl&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.70%  play_icfp2015  libc-2.19.so         [.] strlen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.65%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.63%  play_icfp2015  libstdc++.so.6.0.19  [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.60%  play_icfp2015  libstdc++.so.6.0.19  [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.58%  play_icfp2015  play_icfp2015        [.] Cell::TranslateAdd(Cell) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.58%  play_icfp2015  libstdc++.so.6.0.19  [.] std::allocator<char>::~allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.57%  play_icfp2015  play_icfp2015        [.] Cell::Lin(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.56%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.54%  play_icfp2015  play_icfp2015        [.] State::State(State&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.53%  play_icfp2015  libc-2.19.so         [.] memchr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.52%  play_icfp2015  play_icfp2015        [.] void std::__adjust_heap<__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, long, (anonymous namespace)::Item, std::less<(anonymous namespace)::Item> >(__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, long, long, (anonymous namespace)::Item, std::less<(anonymous namespace)::Item>)                                                                                                                                                                                                                           
     0.51%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >::__normal_iterator((anonymous namespace)::Item* const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.49%  play_icfp2015  libc-2.19.so         [.] __memmove_ssse3_back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.48%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.46%  play_icfp2015  play_icfp2015        [.] void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.44%  play_icfp2015  play_icfp2015        [.] State::UpdateVisitedAndLock(Game const&, Cell)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.43%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item::Item(Game const&, State const&, std::string const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.43%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::find(char, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.43%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.41%  play_icfp2015  play_icfp2015        [.] LightningAI::Run(Game const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.40%  play_icfp2015  play_icfp2015        [.] void std::_Destroy<char*>(char*, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.40%  play_icfp2015  play_icfp2015        [.] std::remove_reference<std::_Bit_iterator&>::type&& std::move<std::_Bit_iterator&>(std::_Bit_iterator&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.40%  play_icfp2015  play_icfp2015        [.] void std::swap<unsigned long*>(unsigned long*&, unsigned long*&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.38%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator::_Bit_iterator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.37%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::begin()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.37%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.37%  play_icfp2015  play_icfp2015        [.] State::State(State const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.37%  play_icfp2015  play_icfp2015        [.] std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long>&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
